ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
0 (0.0),0 (0.4),0 (0.0),0 (0.0),0 (0.16),0 (0.0),0 (0.12),0 (0.04),0 (0.04),0 (0.12),0 (0.0),0 (0.08),0 (0.08),0 (0.04),0 (0.0),0,"ALBERT,BERT,DistilBERT,ELMO,RoBERTa,MISTRAL","(0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.0),0 (0.08),0 (0.0),0 (0.0),0 (0.04),0 (0.0),0 (0.0),1 (0.2),0 (0.12),0 (0.0),0 (0.04),0 (0.12),0 (0.04),0 (0.0),0 (0.0),0,"ALBERT,BERT,DistilBERT,ELMO,Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.28),0 (0.04),0 (0.0),0 (0.0),0 (0.04),0 (0.0),0 (0.0),0 (0.36),0 (0.16),0 (0.16),0 (0.0),0 (0.04),0 (0.36),0 (0.04),0 (0.2),0,"BERT,DistilBERT,ELMO,Falcon,RoBERTa","(0, 0, 0, 0, 0)",BERT,TRUE,TRUE
0 (0.4),0 (0.48),0 (0.36),0 (0.48),0 (0.32),0 (0.16),0 (0.12),0 (0.36),0 (0.36),0 (0.44),0 (0.08),0 (0.48),0 (0.44),0 (0.32),0 (0.2),0,RoBERTa,"(0,)",RoBERTa,TRUE,TRUE
1 (0.36),1 (0.56),1 (0.08),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.32),1 (0.48),1 (0.0),1 (0.28),1 (0.12),1 (0.2),1 (0.0),1 (0.0),1,"DistilBERT,ELMO,Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",DistilBERT,TRUE,TRUE
1 (0.28),1 (0.32),1 (0.08),1 (0.04),1 (0.08),1 (0.08),1 (0.04),1 (0.16),1 (0.12),1 (0.0),1 (0.6),1 (0.08),1 (0.4),1 (0.04),1 (0.2),1,LLAMA,"(1,)",LLAMA,TRUE,TRUE
1 (0.12),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.36),1 (0.12),1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELECTRA,Falcon,LLAMA,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.48),1 (0.32),0 (0.0),0 (0.08),1 (0.32),0 (0.0),1 (0.0),1 (0.36),1 (0.08),0 (0.04),1 (0.04),1 (0.0),0 (0.48),1 (0.0),1 (0.0),1,"BERT,ELMO,Falcon,W2V,LLAMA3,MISTRAL","(0, 0, 1, 1, 1, 1)",Falcon,TRUE,TRUE
0 (0.36),0 (0.04),0 (0.12),0 (0.28),1 (0.2),0 (0.0),0 (0.32),0 (0.08),0 (0.12),0 (0.16),0 (0.32),0 (0.2),0 (0.4),0 (0.28),0 (0.12),0,ELMO,"(0,)",ELMO,TRUE,TRUE
0 (0.08),0 (0.56),0 (0.12),0 (0.2),0 (0.28),0 (0.0),0 (0.08),1 (0.0),0 (0.32),0 (0.08),0 (0.04),1 (0.0),0 (0.4),0 (0.04),0 (0.0),0,"ELMO,Fasttext,W2V,MISTRAL","(0, 1, 1, 0)",ELMO,TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.04),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.04),1 (0.04),1 (0.08),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1,"DistilBERT,ELECTRA,ELMO,Falcon,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",DistilBERT,TRUE,TRUE
0 (0.0),0 (0.08),0 (0.0),0 (0.0),0 (0.12),0 (0.16),0 (0.0),0 (0.08),0 (0.12),0 (0.04),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0,"ALBERT,BERT,DistilBERT,Falcon,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.4),0 (0.28),0 (0.04),0 (0.4),0 (0.56),0 (0.44),0 (0.24),0 (0.4),0 (0.32),0 (0.24),0 (0.2),0 (0.4),0 (0.4),0 (0.4),0 (0.44),0,BERT,"(0,)",BERT,TRUE,TRUE
0 (0.32),0 (0.28),0 (0.2),0 (0.04),0 (0.2),0 (0.08),0 (0.0),0 (0.08),1 (0.32),0 (0.08),0 (0.12),0 (0.0),0 (0.52),0 (0.36),0 (0.08),0,"Falcon,W2V","(0, 0)",Falcon,TRUE,TRUE
1 (0.0),1 (0.24),1 (0.08),1 (0.0),1 (0.24),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.04),1 (0.04),1 (0.04),1,"ALBERT,DistilBERT,Falcon,Fasttext,Glove,LLAMA,W2V","(1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.0),1 (0.32),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.32),1 (0.32),1 (0.0),1 (0.0),1 (0.04),1 (0.04),1 (0.2),1 (0.36),0 (0.24),1 (0.08),1 (0.0),1 (0.08),1 (0.2),1 (0.24),1 (0.0),1,"BERT,DistilBERT,RoBERTa,MISTRAL","(1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.16),1 (0.32),0 (0.2),0 (0.2),0 (0.16),0 (0.16),0 (0.04),0 (0.32),0 (0.2),0 (0.04),0 (0.08),0 (0.36),0 (0.2),0 (0.12),0 (0.12),0,"Falcon,LLAMA","(0, 0)",Falcon,TRUE,TRUE
1 (0.2),1 (0.04),1 (0.2),1 (0.04),1 (0.28),1 (0.0),1 (0.0),1 (0.08),1 (0.08),1 (0.04),1 (0.0),1 (0.2),1 (0.36),1 (0.0),1 (0.0),1,"ELMO,Falcon,RoBERTa,LLAMA3,MISTRAL","(1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.2),0 (0.32),0 (0.24),0 (0.32),0 (0.32),0 (0.0),0 (0.0),0 (0.24),0 (0.32),0 (0.0),0 (0.4),0 (0.12),0 (0.28),0 (0.0),0 (0.0),0,"ELMO,Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0, 0)",ELMO,TRUE,TRUE
0 (0.04),0 (0.4),0 (0.16),1 (0.08),0 (0.32),0 (0.0),0 (0.0),0 (0.08),0 (0.2),0 (0.0),0 (0.0),0 (0.32),0 (0.24),0 (0.0),0 (0.0),0,"ELMO,Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0)",ELMO,TRUE,TRUE
1 (0.16),1 (0.28),1 (0.52),1 (0.04),1 (0.28),1 (0.16),1 (0.24),1 (0.0),1 (0.12),1 (0.32),0 (0.52),1 (0.0),0 (0.16),1 (0.04),1 (0.2),1,"Fasttext,W2V","(1, 1)",Fasttext,TRUE,TRUE
1 (0.04),1 (0.52),1 (0.0),1 (0.0),1 (0.08),1 (0.12),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.04),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"BERT,DistilBERT,Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.08),0 (0.0),0 (0.12),0 (0.08),0 (0.4),0 (0.0),0 (0.0),0 (0.16),0 (0.16),0 (0.0),0 (0.28),0 (0.08),0 (0.24),0 (0.0),0 (0.0),0,"BART,ELMO,Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0)",BART,TRUE,TRUE
0 (0.16),0 (0.2),0 (0.04),0 (0.0),0 (0.0),0 (0.2),0 (0.28),0 (0.28),0 (0.56),0 (0.12),0 (0.28),0 (0.0),0 (0.0),0 (0.52),0 (0.28),0,"DistilBERT,ELECTRA,W2V,XLNET","(0, 0, 0, 0)",DistilBERT,TRUE,TRUE
1 (0.24),0 (0.4),0 (0.24),0 (0.24),0 (0.2),0 (0.08),1 (0.0),0 (0.2),0 (0.52),1 (0.0),0 (0.28),1 (0.32),0 (0.36),1 (0.08),1 (0.04),1,"Falcon,LLAMA","(1, 1)",Falcon,TRUE,TRUE
0 (0.12),0 (0.4),0 (0.32),0 (0.2),0 (0.4),0 (0.12),0 (0.16),0 (0.24),1 (0.2),0 (0.12),0 (0.04),0 (0.2),0 (0.16),0 (0.04),0 (0.04),0,"RoBERTa,LLAMA3,MISTRAL","(0, 0, 0)",RoBERTa,TRUE,TRUE
0 (0.2),0 (0.28),0 (0.0),1 (0.0),0 (0.2),0 (0.44),0 (0.12),1 (0.24),1 (0.2),0 (0.2),0 (0.52),1 (0.0),0 (0.28),0 (0.12),0 (0.16),0,"BERT,DistilBERT,W2V","(0, 1, 1)",BERT,TRUE,TRUE
0 (0.0),0 (0.16),0 (0.12),0 (0.04),0 (0.04),0 (0.16),0 (0.08),0 (0.16),0 (0.16),0 (0.08),0 (0.28),0 (0.4),0 (0.28),0 (0.08),0 (0.04),0,ALBERT,"(0,)",ALBERT,TRUE,TRUE
1 (0.2),1 (0.12),1 (0.04),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.08),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1)",DistilBERT,TRUE,TRUE
0 (0.04),0 (0.24),0 (0.04),0 (0.04),0 (0.28),0 (0.16),0 (0.0),0 (0.32),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.28),0 (0.0),0 (0.0),0,"Falcon,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0)",Falcon,TRUE,TRUE
0 (0.0),0 (0.28),0 (0.0),0 (0.0),0 (0.2),0 (0.04),0 (0.0),0 (0.16),0 (0.04),0 (0.0),0 (0.0),0 (0.0),0 (0.24),0 (0.0),0 (0.0),0,"ALBERT,BERT,DistilBERT,Falcon,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.32),0 (0.52),1 (0.2),1 (0.04),1 (0.32),1 (0.24),1 (0.0),1 (0.12),1 (0.4),1 (0.08),1 (0.48),1 (0.08),1 (0.48),1 (0.0),1 (0.0),1,"Falcon,LLAMA3,MISTRAL","(1, 1, 1)",Falcon,TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.28),0 (0.28),0 (0.52),0 (0.4),0 (0.4),0 (0.12),0 (0.0),0 (0.2),0 (0.48),0 (0.04),0 (0.16),0 (0.24),0 (0.36),0 (0.0),0 (0.0),0,"Falcon,LLAMA3,MISTRAL","(0, 0, 0)",Falcon,TRUE,TRUE
0 (0.0),0 (0.32),0 (0.0),0 (0.04),0 (0.2),0 (0.04),0 (0.04),0 (0.36),0 (0.28),0 (0.0),0 (0.36),0 (0.08),0 (0.04),0 (0.0),0 (0.04),0,"ALBERT,BERT,LLAMA,LLAMA3","(0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.32),0 (0.28),0 (0.44),0 (0.2),0 (0.2),0 (0.44),0 (0.16),1 (0.24),0 (0.36),0 (0.0),0 (0.4),0 (0.24),0 (0.04),0 (0.08),0 (0.16),0,LLAMA,"(0,)",LLAMA,TRUE,TRUE
1 (0.0),1 (0.2),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.2),1 (0.24),1 (0.08),1 (0.0),1 (0.0),1,"ALBERT,BERT,ELECTRA,ELMO,Falcon,Fasttext,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
1 (0.24),0 (0.28),1 (0.44),1 (0.08),0 (0.08),1 (0.2),0 (0.24),0 (0.0),1 (0.0),0 (0.08),1 (0.24),0 (0.08),0 (0.0),0 (0.24),0 (0.12),0,"Fasttext,Glove,XLNET","(0, 1, 0)",Fasttext,TRUE,TRUE
0 (0.16),0 (0.0),0 (0.0),0 (0.28),0 (0.16),0 (0.04),0 (0.12),0 (0.12),0 (0.16),0 (0.04),0 (0.28),0 (0.04),0 (0.44),0 (0.08),0 (0.0),1,"BART,BERT,MISTRAL","(0, 0, 0)",MISTRAL,FALSE,FALSE
0 (0.24),0 (0.36),0 (0.24),0 (0.24),0 (0.32),0 (0.16),0 (0.0),0 (0.0),0 (0.36),0 (0.04),0 (0.12),0 (0.0),0 (0.12),0 (0.04),0 (0.0),0,"Falcon,Fasttext,W2V,MISTRAL","(0, 0, 0, 0)",Falcon,TRUE,TRUE
0 (0.2),0 (0.4),1 (0.0),0 (0.04),0 (0.28),0 (0.12),0 (0.04),0 (0.0),0 (0.36),0 (0.0),0 (0.2),0 (0.0),0 (0.28),0 (0.0),0 (0.0),1,"BERT,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 0, 0, 0, 0, 0)",BERT,TRUE,TRUE
1 (0.04),1 (0.44),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
1 (0.28),0 (0.36),1 (0.32),1 (0.4),0 (0.32),1 (0.2),1 (0.0),1 (0.0),1 (0.04),0 (0.08),1 (0.0),1 (0.28),1 (0.44),1 (0.32),1 (0.2),1,"Falcon,Fasttext,RoBERTa","(1, 1, 1)",Falcon,TRUE,TRUE
0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.0),0 (0.56),0 (0.24),0 (0.0),0 (0.2),0 (0.0),0 (0.0),0 (0.08),0 (0.24),0 (0.0),0 (0.0),0 (0.04),0 (0.12),0 (0.04),0 (0.0),0,"ALBERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,MISTRAL","(0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.36),1 (0.48),1 (0.16),1 (0.04),1 (0.04),1 (0.32),1 (0.0),1 (0.04),1 (0.16),1 (0.16),1 (0.28),1 (0.24),1 (0.44),1 (0.08),1 (0.16),1,Falcon,"(1,)",Falcon,TRUE,TRUE
1 (0.04),1 (0.44),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELECTRA,Falcon,Glove,LLAMA,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.12),0 (0.32),0 (0.08),0 (0.0),0 (0.16),0 (0.0),0 (0.0),0 (0.12),0 (0.04),0 (0.0),0 (0.12),0 (0.0),0 (0.04),0 (0.0),0 (0.0),0,"DistilBERT,ELMO,Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0)",DistilBERT,TRUE,TRUE
0 (0.12),0 (0.04),0 (0.2),0 (0.32),0 (0.08),0 (0.04),0 (0.16),0 (0.12),0 (0.48),0 (0.0),0 (0.08),0 (0.12),0 (0.12),0 (0.24),0 (0.04),0,LLAMA,"(0,)",LLAMA,TRUE,TRUE
1 (0.08),0 (0.52),0 (0.48),0 (0.08),0 (0.36),1 (0.32),0 (0.2),1 (0.28),0 (0.4),0 (0.36),1 (0.2),0 (0.36),0 (0.48),0 (0.48),0 (0.08),0,"ALBERT,DistilBERT,MISTRAL","(1, 0, 0)",DistilBERT,TRUE,TRUE
1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.08),0 (0.2),0 (0.0),0 (0.0),0 (0.32),0 (0.0),0 (0.0),0 (0.12),0 (0.04),0 (0.0),0 (0.12),0 (0.0),0 (0.2),0 (0.0),0 (0.0),0,"BERT,DistilBERT,ELMO,Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0)",BERT,TRUE,TRUE
0 (0.08),0 (0.56),0 (0.04),0 (0.0),0 (0.36),0 (0.36),0 (0.44),0 (0.12),0 (0.0),0 (0.24),0 (0.12),0 (0.0),1 (0.16),0 (0.16),0 (0.04),0,"DistilBERT,Glove,W2V","(0, 0, 0)",DistilBERT,TRUE,TRUE
0 (0.44),0 (0.32),0 (0.2),0 (0.16),0 (0.4),0 (0.08),0 (0.4),0 (0.2),1 (0.08),0 (0.2),0 (0.2),0 (0.24),1 (0.4),0 (0.52),0 (0.24),0,"ELMO,Glove","(0, 1)",ELMO,TRUE,TRUE
0 (0.4),0 (0.44),0 (0.44),0 (0.4),0 (0.48),0 (0.04),0 (0.0),0 (0.2),1 (0.32),0 (0.28),0 (0.16),0 (0.28),0 (0.4),0 (0.0),0 (0.0),0,"Falcon,LLAMA3,MISTRAL","(0, 0, 0)",Falcon,TRUE,TRUE
0 (0.24),0 (0.4),0 (0.28),0 (0.08),0 (0.24),0 (0.2),0 (0.12),0 (0.44),0 (0.28),0 (0.12),0 (0.32),0 (0.0),0 (0.32),0 (0.24),0 (0.08),0,W2V,"(0,)",W2V,TRUE,TRUE
0 (0.2),0 (0.04),0 (0.04),0 (0.24),0 (0.04),0 (0.08),0 (0.0),0 (0.12),0 (0.08),0 (0.0),0 (0.2),0 (0.16),0 (0.36),0 (0.04),0 (0.0),0,"Falcon,LLAMA,MISTRAL","(0, 0, 0)",Falcon,TRUE,TRUE
0 (0.08),0 (0.4),0 (0.12),0 (0.2),0 (0.44),0 (0.2),0 (0.0),0 (0.24),0 (0.32),0 (0.08),0 (0.04),0 (0.44),0 (0.16),0 (0.24),0 (0.16),0,Falcon,"(0,)",Falcon,TRUE,TRUE
0 (0.24),0 (0.48),0 (0.04),0 (0.04),1 (0.16),0 (0.16),0 (0.16),0 (0.4),0 (0.32),0 (0.04),0 (0.24),0 (0.04),0 (0.2),0 (0.04),0 (0.04),0,"BERT,DistilBERT,LLAMA,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0)",BERT,TRUE,TRUE
0 (0.32),0 (0.48),1 (0.2),0 (0.28),0 (0.36),0 (0.4),0 (0.28),0 (0.36),1 (0.28),1 (0.2),1 (0.32),1 (0.4),0 (0.28),0 (0.2),1 (0.2),1,"BERT,LLAMA,LLAMA3,MISTRAL","(1, 1, 0, 1)",BERT,TRUE,TRUE
0 (0.56),0 (0.48),0 (0.12),0 (0.16),0 (0.08),0 (0.16),0 (0.0),0 (0.4),1 (0.28),0 (0.2),0 (0.16),0 (0.0),0 (0.4),0 (0.16),0 (0.4),0,"Falcon,W2V","(0, 0)",Falcon,TRUE,TRUE
0 (0.28),1 (0.16),1 (0.16),1 (0.36),0 (0.32),0 (0.16),0 (0.2),0 (0.0),0 (0.36),0 (0.2),1 (0.08),1 (0.12),0 (0.32),0 (0.08),0 (0.12),0,Fasttext,"(0,)",Fasttext,TRUE,TRUE
1 (0.24),1 (0.12),1 (0.2),1 (0.0),1 (0.16),1 (0.2),1 (0.0),1 (0.08),1 (0.24),1 (0.04),1 (0.08),1 (0.44),1 (0.28),1 (0.2),1 (0.0),1,"DistilBERT,Falcon,MISTRAL","(1, 1, 1)",DistilBERT,TRUE,TRUE
0 (0.24),0 (0.28),0 (0.16),0 (0.12),0 (0.4),0 (0.2),0 (0.04),0 (0.12),1 (0.64),0 (0.12),0 (0.0),0 (0.12),0 (0.24),0 (0.0),0 (0.0),0,"RoBERTa,LLAMA3,MISTRAL","(0, 0, 0)",RoBERTa,TRUE,TRUE
1 (0.12),0 (0.24),0 (0.48),0 (0.36),1 (0.08),0 (0.12),0 (0.08),0 (0.2),0 (0.28),0 (0.32),0 (0.12),0 (0.28),0 (0.36),0 (0.32),0 (0.28),1,"ELECTRA,Falcon","(1, 0)",ELECTRA,TRUE,TRUE
1 (0.04),0 (0.16),1 (0.08),1 (0.04),1 (0.28),1 (0.04),1 (0.0),1 (0.12),1 (0.24),1 (0.0),1 (0.28),1 (0.04),0 (0.2),1 (0.0),1 (0.0),1,"Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.28),0 (0.24),1 (0.32),1 (0.52),0 (0.56),1 (0.24),1 (0.36),1 (0.48),0 (0.44),1 (0.48),1 (0.56),1 (0.2),0 (0.36),1 (0.32),1 (0.4),1,W2V,"(1,)",W2V,TRUE,TRUE
0 (0.28),0 (0.08),0 (0.36),1 (0.24),0 (0.32),1 (0.2),1 (0.0),0 (0.2),0 (0.12),1 (0.0),0 (0.52),0 (0.16),1 (0.44),1 (0.0),1 (0.0),1,"Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.16),1 (0.6),1 (0.0),1 (0.08),1 (0.04),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1,"BERT,ELMO,Falcon,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1)",BERT,TRUE,TRUE
0 (0.12),1 (0.24),1 (0.24),1 (0.04),1 (0.04),1 (0.28),1 (0.0),0 (0.2),1 (0.24),1 (0.0),1 (0.2),1 (0.36),1 (0.44),1 (0.0),1 (0.0),1,"Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1)",Falcon,TRUE,TRUE
0 (0.24),1 (0.12),0 (0.28),0 (0.16),0 (0.24),0 (0.0),0 (0.0),0 (0.28),0 (0.56),0 (0.04),0 (0.44),0 (0.04),0 (0.16),0 (0.04),0 (0.0),0,"ELMO,Falcon,MISTRAL","(0, 0, 0)",ELMO,TRUE,TRUE
1 (0.24),0 (0.48),0 (0.08),0 (0.04),1 (0.12),1 (0.04),0 (0.0),1 (0.36),1 (0.44),0 (0.0),0 (0.04),1 (0.32),1 (0.56),0 (0.08),0 (0.0),0,"Falcon,LLAMA,MISTRAL","(0, 0, 0)",Falcon,TRUE,TRUE
0 (0.04),0 (0.28),0 (0.04),0 (0.32),0 (0.44),0 (0.0),0 (0.12),0 (0.2),0 (0.0),0 (0.04),0 (0.04),0 (0.08),0 (0.08),0 (0.0),0 (0.0),0,"ELMO,Glove,LLAMA3,MISTRAL","(0, 0, 0, 0)",ELMO,TRUE,TRUE
1 (0.16),1 (0.28),1 (0.24),1 (0.16),1 (0.12),1 (0.08),1 (0.0),1 (0.12),1 (0.24),1 (0.0),1 (0.24),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
0 (0.0),0 (0.2),0 (0.2),0 (0.2),0 (0.48),0 (0.16),0 (0.04),1 (0.16),0 (0.64),0 (0.08),0 (0.4),0 (0.32),1 (0.4),0 (0.12),0 (0.2),0,ALBERT,"(0,)",ALBERT,TRUE,TRUE
0 (0.0),0 (0.08),0 (0.0),0 (0.04),0 (0.32),0 (0.2),0 (0.0),0 (0.2),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.48),0 (0.0),0 (0.0),0,"ALBERT,BERT,Falcon,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.24),1 (0.56),1 (0.04),1 (0.2),1 (0.36),1 (0.08),1 (0.0),1 (0.28),0 (0.36),1 (0.0),1 (0.2),1 (0.16),1 (0.24),1 (0.0),1 (0.0),1,"Falcon,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1)",Falcon,TRUE,TRUE
