ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
2 (0.64),1 (0.8),0 (0.68),3 (0.76),0 (0.72),0 (0.92),1 (0.72),1 (0.68),1 (0.64),2 (0.84),1 (0.84),1 (0.76),1 (0.84),1 (0.92),1 (0.8),2,"ALBERT,Glove","(2, 1)",ALBERT,TRUE,TRUE
3 (0.84),4 (0.72),4 (0.76),4 (0.68),1 (0.72),3 (0.76),3 (0.8),5 (0.8),3 (0.84),4 (0.8),5 (0.8),4 (0.8),3 (0.68),1 (0.76),3 (0.92),3,"DistilBERT,XLNET","(4, 3)",XLNET,TRUE,TRUE
1 (0.84),0 (0.76),5 (0.88),5 (0.76),3 (0.76),2 (0.84),4 (0.84),3 (0.92),4 (0.8),4 (0.84),3 (0.84),1 (0.88),5 (0.92),1 (0.96),5 (0.88),0,"BART,DistilBERT,ELECTRA","(0, 5, 3)",BART,TRUE,TRUE
1 (0.8),1 (0.88),2 (0.8),2 (0.8),1 (0.96),1 (0.88),1 (0.76),1 (0.76),1 (0.72),2 (0.68),2 (0.72),0 (0.68),1 (0.88),2 (0.8),0 (0.84),0,"LLAMA,W2V","(2, 0)",W2V,TRUE,TRUE
5 (0.68),3 (0.92),4 (0.76),5 (0.72),4 (0.8),1 (0.72),1 (0.68),3 (0.8),1 (0.92),0 (0.76),4 (0.84),4 (0.8),3 (0.72),1 (0.84),1 (0.84),5,"ALBERT,Falcon","(5, 1)",ALBERT,TRUE,TRUE
1 (0.72),1 (0.92),1 (0.6),1 (0.84),1 (0.76),1 (0.68),1 (0.76),1 (0.92),1 (0.76),1 (0.76),1 (0.56),1 (0.68),1 (0.84),1 (0.88),1 (0.68),5,RoBERTa,"(1,)",RoBERTa,FALSE,FALSE
2 (0.88),0 (0.92),2 (0.96),3 (0.88),2 (0.84),0 (0.84),1 (0.96),4 (0.92),2 (1.0),3 (0.92),1 (0.96),2 (0.88),1 (0.92),1 (0.88),1 (0.92),4,"ELECTRA,ELMO","(2, 0)",ELECTRA,FALSE,TRUE
1 (0.88),1 (0.88),2 (0.8),2 (0.84),3 (0.8),1 (0.68),1 (0.76),1 (0.8),1 (0.8),1 (0.76),1 (0.8),4 (0.72),3 (0.6),1 (0.92),1 (0.6),3,"XLNET,MISTRAL","(3, 1)",XLNET,TRUE,TRUE
1 (0.88),4 (0.92),5 (0.72),3 (0.88),1 (0.76),1 (0.76),3 (0.72),2 (0.84),4 (0.6),3 (0.76),1 (0.84),3 (0.76),3 (0.68),1 (0.84),1 (0.8),4,Glove,"(4,)",Glove,TRUE,TRUE
4 (0.8),3 (0.84),1 (0.8),3 (0.88),2 (0.92),1 (0.76),1 (0.84),3 (0.84),3 (0.8),1 (0.88),1 (0.84),0 (0.96),1 (0.84),4 (0.76),1 (0.84),2,"ELMO,LLAMA3","(1, 4)",ELMO,FALSE,TRUE
1 (0.96),1 (0.76),3 (0.92),3 (0.8),0 (0.84),1 (0.76),2 (0.8),1 (0.64),1 (0.68),4 (0.84),4 (0.88),1 (0.92),1 (0.84),1 (0.8),1 (0.84),0,Fasttext,"(1,)",Fasttext,FALSE,TRUE
1 (0.76),4 (0.68),3 (0.72),3 (0.72),1 (0.88),3 (0.8),4 (0.76),3 (0.76),4 (0.84),3 (0.8),4 (0.84),4 (0.8),3 (0.72),3 (0.84),3 (0.64),4,MISTRAL,"(3,)",MISTRAL,FALSE,TRUE
1 (0.8),1 (0.88),4 (0.84),1 (0.76),5 (0.8),5 (0.76),3 (0.8),5 (0.72),3 (0.96),3 (0.76),3 (0.72),5 (0.84),3 (0.8),3 (0.76),3 (0.76),3,"Fasttext,RoBERTa","(5, 3)",RoBERTa,TRUE,TRUE
1 (0.92),3 (0.56),0 (0.8),0 (0.64),2 (0.88),1 (0.8),3 (0.8),3 (0.76),2 (0.88),3 (0.64),3 (0.76),2 (0.76),2 (0.76),3 (0.8),3 (0.72),0,BART,"(3,)",BART,FALSE,TRUE
3 (0.84),4 (0.88),3 (0.8),3 (0.76),4 (0.84),3 (0.76),3 (0.88),3 (0.84),4 (0.72),3 (0.84),3 (0.84),3 (0.88),1 (0.76),3 (0.88),3 (0.76),2,Glove,"(4,)",Glove,FALSE,FALSE
4 (0.8),4 (0.92),3 (0.76),5 (0.8),1 (0.72),4 (0.6),4 (0.92),4 (0.8),4 (0.8),4 (0.8),5 (0.72),3 (0.76),3 (0.92),5 (0.72),3 (0.8),4,ELMO,"(4,)",ELMO,TRUE,TRUE
2 (0.88),1 (0.88),1 (0.84),3 (0.88),1 (0.68),1 (0.84),3 (0.72),1 (0.76),3 (0.92),3 (0.72),1 (0.8),1 (0.88),1 (0.72),1 (0.8),1 (0.8),1,ELECTRA,"(1,)",ELECTRA,TRUE,TRUE
3 (0.76),3 (0.76),3 (0.88),1 (0.84),5 (0.84),2 (0.8),2 (0.88),2 (0.84),3 (0.84),1 (0.8),1 (0.8),1 (0.72),3 (0.84),3 (0.84),1 (0.76),1,W2V,"(1,)",W2V,TRUE,TRUE
3 (0.68),3 (0.64),3 (0.6),2 (0.76),1 (0.68),1 (0.68),2 (0.76),3 (0.64),3 (0.76),3 (0.72),4 (0.88),3 (0.8),3 (0.72),2 (0.92),2 (0.76),3,BERT,"(3,)",BERT,TRUE,TRUE
2 (0.88),1 (0.84),2 (0.8),1 (0.84),3 (0.84),1 (0.8),1 (0.72),2 (0.8),1 (0.56),1 (0.44),1 (0.92),0 (0.76),0 (0.88),0 (0.6),3 (0.48),2,LLAMA,"(1,)",LLAMA,FALSE,TRUE
4 (0.92),1 (0.88),3 (0.76),1 (0.76),0 (0.84),4 (0.88),2 (0.76),1 (0.72),1 (0.84),4 (0.84),4 (0.84),0 (0.68),4 (0.88),4 (0.64),4 (0.8),4,LLAMA3,"(4,)",LLAMA3,TRUE,TRUE
3 (0.84),3 (1.0),3 (0.88),3 (0.88),4 (1.0),5 (0.68),4 (0.88),4 (0.88),4 (0.88),3 (0.76),3 (0.76),4 (0.8),1 (0.8),3 (0.72),3 (0.76),5,ELMO,"(5,)",ELMO,TRUE,TRUE
2 (0.72),3 (0.76),3 (0.56),3 (0.8),1 (0.92),4 (0.56),1 (0.8),3 (0.84),3 (0.8),3 (0.76),1 (0.68),3 (0.8),2 (0.84),4 (0.76),3 (0.72),4,"BERT,ELMO","(3, 4)",ELMO,TRUE,TRUE
0 (0.92),3 (0.72),3 (0.88),1 (0.84),1 (0.72),4 (0.64),4 (0.92),3 (0.92),3 (0.76),4 (0.64),3 (0.92),2 (0.76),0 (0.96),1 (0.88),1 (0.76),4,"ELMO,LLAMA","(4, 4)",ELMO,TRUE,TRUE
3 (0.76),1 (0.72),4 (0.8),1 (0.88),1 (0.8),5 (0.72),5 (0.96),3 (0.84),4 (0.72),5 (0.8),1 (0.8),3 (0.8),1 (0.84),5 (0.96),5 (0.96),4,"BART,ELMO,Glove","(1, 5, 4)",Glove,TRUE,TRUE
3 (0.88),1 (0.96),4 (0.64),3 (0.76),3 (0.88),4 (0.72),4 (0.84),4 (0.76),4 (0.64),4 (0.72),4 (0.84),4 (0.76),4 (0.8),4 (0.76),4 (0.76),3,"BERT,Glove","(4, 4)",Glove,FALSE,TRUE
2 (0.72),1 (0.68),0 (0.84),1 (0.76),1 (0.76),1 (0.68),1 (0.48),0 (0.8),2 (0.84),1 (0.64),1 (0.84),1 (0.84),1 (0.88),1 (0.6),1 (0.52),1,Falcon,"(1,)",Falcon,TRUE,TRUE
1 (0.92),3 (0.68),2 (0.76),1 (0.76),4 (0.88),1 (0.92),2 (0.72),1 (0.68),1 (0.84),2 (0.68),2 (0.92),1 (0.76),1 (0.8),2 (0.88),1 (0.72),3,"BART,Fasttext,LLAMA","(3, 1, 2)",BART,TRUE,TRUE
4 (0.76),3 (0.92),0 (0.88),3 (0.76),4 (0.84),1 (0.8),1 (0.88),4 (0.8),3 (0.8),3 (0.72),4 (0.96),1 (0.8),1 (0.56),1 (0.84),0 (0.84),0,XLNET,"(1,)",XLNET,FALSE,TRUE
0 (0.72),1 (0.72),4 (0.88),2 (0.92),3 (0.84),1 (0.76),1 (0.84),0 (0.88),1 (0.96),3 (0.88),1 (0.84),1 (0.76),2 (0.84),2 (0.84),3 (0.76),4,"ALBERT,BART","(0, 1)",BART,FALSE,TRUE
4 (0.8),4 (0.6),3 (0.76),4 (0.84),3 (0.76),4 (0.92),4 (0.84),4 (0.68),4 (0.76),4 (0.84),5 (0.76),4 (0.88),4 (0.8),4 (0.72),5 (0.84),4,BART,"(4,)",BART,TRUE,TRUE
3 (0.8),3 (0.8),0 (0.88),0 (0.88),0 (0.88),0 (0.8),0 (0.84),1 (0.76),1 (0.68),4 (0.92),2 (0.64),0 (0.64),1 (0.84),4 (0.68),0 (0.72),1,"RoBERTa,W2V","(2, 0)",W2V,FALSE,TRUE
0 (0.88),0 (0.8),4 (0.92),0 (0.72),1 (0.8),0 (0.8),1 (0.64),5 (0.8),3 (0.72),1 (0.88),4 (0.72),2 (0.92),3 (0.68),1 (0.76),1 (0.72),1,Falcon,"(1,)",Falcon,TRUE,TRUE
0 (0.92),3 (0.8),2 (0.8),2 (0.88),2 (0.84),1 (0.72),1 (0.88),1 (0.88),1 (0.8),1 (0.84),2 (0.88),2 (0.84),1 (0.88),0 (0.76),1 (0.84),1,ELMO,"(1,)",ELMO,TRUE,TRUE
5 (0.8),4 (0.88),0 (0.96),2 (0.72),5 (0.84),2 (0.64),4 (0.88),4 (0.8),3 (0.84),2 (0.88),1 (0.88),4 (0.72),0 (0.96),1 (0.8),1 (0.84),4,ELMO,"(2,)",ELMO,FALSE,TRUE
0 (0.84),3 (0.76),0 (0.8),0 (0.88),3 (0.84),0 (0.68),0 (0.84),0 (0.8),1 (0.76),0 (0.76),0 (0.76),0 (0.8),1 (0.76),0 (0.84),0 (0.72),5,ELMO,"(0,)",ELMO,FALSE,FALSE
2 (0.88),1 (0.84),1 (0.76),1 (0.76),1 (0.84),2 (0.76),1 (0.84),1 (0.8),1 (0.76),1 (0.68),3 (0.8),1 (0.88),1 (0.88),3 (0.68),1 (0.72),1,"LLAMA,LLAMA3","(1, 3)",LLAMA,TRUE,TRUE
3 (0.76),1 (0.84),3 (0.6),1 (0.84),3 (0.76),1 (0.68),1 (0.64),3 (0.76),3 (0.84),1 (0.72),1 (0.56),1 (0.72),1 (0.68),1 (0.48),1 (0.48),1,"LLAMA3,MISTRAL","(1, 1)",LLAMA3,TRUE,TRUE
3 (0.88),1 (0.84),5 (0.88),1 (0.8),4 (0.92),2 (0.88),1 (0.84),3 (0.8),1 (0.8),1 (0.88),1 (0.88),1 (0.96),1 (0.72),1 (0.8),3 (0.84),0,XLNET,"(1,)",XLNET,FALSE,FALSE
0 (0.88),4 (0.68),4 (0.84),1 (0.88),0 (0.88),0 (0.76),1 (1.0),1 (0.84),1 (0.72),1 (0.8),1 (0.88),1 (0.96),1 (0.68),0 (0.96),1 (0.88),4,"BART,XLNET","(4, 1)",BART,TRUE,TRUE
0 (0.84),3 (0.8),5 (0.8),5 (0.6),3 (0.72),4 (0.8),3 (0.52),5 (0.64),3 (0.8),1 (0.52),1 (0.84),3 (0.72),3 (0.68),4 (0.6),3 (0.6),1,"Falcon,LLAMA","(3, 1)",LLAMA,TRUE,TRUE
4 (0.88),5 (0.92),3 (0.72),5 (0.6),4 (0.72),5 (0.8),5 (0.64),3 (0.76),4 (0.6),5 (0.72),5 (0.72),5 (0.96),5 (0.88),4 (0.68),5 (0.68),4,"DistilBERT,Glove","(5, 4)",Glove,TRUE,TRUE
0 (0.76),3 (0.76),5 (0.84),1 (1.0),3 (0.8),0 (0.88),2 (0.8),1 (0.8),3 (0.92),0 (0.88),3 (0.84),1 (0.84),1 (0.72),0 (0.92),2 (0.92),1,XLNET,"(1,)",XLNET,TRUE,TRUE
1 (0.72),3 (0.84),3 (0.68),1 (0.76),1 (0.76),2 (0.8),0 (0.84),1 (0.92),1 (0.88),1 (0.8),1 (0.6),1 (0.8),1 (0.84),1 (0.84),2 (0.84),4,RoBERTa,"(1,)",RoBERTa,FALSE,FALSE
2 (0.84),3 (0.84),3 (0.84),1 (0.88),3 (0.88),2 (0.84),2 (0.76),3 (0.76),1 (0.76),1 (0.8),3 (0.72),1 (0.8),2 (0.84),2 (0.84),1 (0.76),3,RoBERTa,"(3,)",RoBERTa,TRUE,TRUE
1 (0.76),3 (0.8),3 (1.0),3 (0.6),4 (0.96),4 (0.6),1 (0.88),1 (0.72),3 (0.72),1 (0.92),4 (0.76),1 (0.8),3 (0.92),1 (0.8),1 (0.72),4,"DistilBERT,ELMO","(3, 4)",ELMO,TRUE,TRUE
1 (0.92),1 (0.72),3 (0.84),1 (0.84),3 (0.96),1 (0.72),1 (0.8),1 (0.92),3 (0.88),1 (0.88),1 (0.76),1 (0.84),0 (1.0),3 (0.84),3 (0.76),1,"BART,ELMO","(1, 1)",BART,TRUE,TRUE
4 (0.72),1 (0.72),3 (0.72),1 (0.68),3 (0.72),2 (0.48),2 (0.56),3 (0.84),3 (0.72),2 (0.68),2 (0.68),1 (0.68),1 (0.76),2 (0.76),2 (0.76),2,ELMO,"(2,)",ELMO,TRUE,TRUE
4 (0.8),1 (0.72),4 (0.96),4 (0.88),1 (0.8),4 (0.72),4 (0.76),4 (0.76),3 (0.8),4 (0.8),4 (0.72),4 (0.92),1 (0.8),4 (0.76),4 (0.72),4,"BART,ELMO,RoBERTa,MISTRAL","(1, 4, 4, 4)",ELMO,TRUE,TRUE
3 (0.88),3 (0.84),2 (0.84),3 (0.76),4 (0.88),3 (0.76),2 (0.68),3 (0.84),3 (0.96),2 (0.8),2 (0.68),2 (0.88),4 (0.6),2 (0.64),2 (0.76),1,XLNET,"(4,)",XLNET,FALSE,FALSE
1 (0.76),3 (0.76),3 (0.84),1 (0.76),3 (0.8),3 (0.88),3 (0.88),1 (0.8),1 (0.84),1 (0.72),3 (0.84),1 (0.76),0 (0.92),3 (0.8),2 (0.88),2,LLAMA,"(1,)",LLAMA,FALSE,TRUE
5 (0.84),1 (0.8),4 (0.56),0 (0.8),1 (0.84),5 (0.88),3 (0.72),3 (0.8),1 (0.8),3 (0.68),5 (0.8),1 (0.72),0 (0.88),1 (0.56),5 (0.64),4,"LLAMA3, BERT","(1, 4)",BERT,TRUE,TRUE
1 (0.84),4 (0.84),1 (0.88),4 (0.68),3 (0.96),1 (0.64),1 (0.68),4 (0.64),4 (0.88),1 (0.96),1 (0.84),3 (0.68),0 (0.76),1 (0.88),1 (0.84),1,"ELMO,Fasttext","(1, 4)",ELMO,TRUE,TRUE
1 (0.84),1 (0.76),3 (0.84),1 (0.76),3 (0.88),0 (0.8),0 (0.8),1 (0.84),1 (0.76),0 (0.88),1 (0.76),1 (0.76),1 (0.68),1 (0.76),5 (0.68),2,"XLNET,MISTRAL","(1, 5)",MISTRAL,FALSE,FALSE
1 (0.72),4 (0.92),1 (0.72),1 (0.88),3 (0.92),3 (0.8),0 (0.72),3 (0.88),1 (0.96),0 (0.8),0 (0.64),5 (0.88),1 (0.8),1 (0.88),0 (0.84),5,RoBERTa,"(0,)",RoBERTa,FALSE,TRUE
3 (0.8),3 (0.8),4 (0.64),3 (0.76),3 (0.92),2 (0.84),2 (0.84),4 (0.88),3 (0.8),3 (0.92),1 (0.8),5 (0.64),1 (0.84),2 (0.76),2 (0.88),5,"BERT,W2V","(4, 5)",W2V,TRUE,TRUE
1 (0.84),3 (0.68),4 (0.68),5 (0.8),1 (0.92),2 (0.76),3 (0.76),4 (0.72),4 (0.92),4 (0.8),4 (0.84),1 (0.76),1 (0.8),5 (0.68),5 (0.76),3,"BART,BERT,LLAMA3","(3, 4, 5)",BART,TRUE,TRUE
4 (0.92),3 (0.76),4 (0.52),3 (0.68),1 (0.92),1 (0.8),3 (0.64),3 (0.76),4 (0.8),5 (0.76),3 (0.8),1 (0.68),3 (0.92),4 (0.56),4 (0.72),4,BERT,"(4,)",BERT,TRUE,TRUE
3 (0.8),3 (0.84),5 (0.88),1 (0.64),4 (0.8),1 (0.88),4 (0.8),4 (0.8),3 (0.64),2 (0.76),4 (0.76),1 (0.76),1 (0.96),4 (0.8),1 (0.8),5,"DistilBERT,Glove","(1, 3)",Glove,FALSE,TRUE
5 (0.88),4 (0.68),4 (0.8),4 (0.8),1 (0.76),1 (0.76),0 (0.68),5 (0.76),4 (0.92),3 (0.68),0 (0.76),5 (0.92),1 (0.8),1 (0.84),4 (0.92),4,"BART,Falcon,LLAMA","(4, 0, 3)",BART,TRUE,TRUE
3 (0.68),4 (0.76),3 (0.72),3 (0.72),4 (0.68),3 (0.88),3 (0.76),3 (0.88),2 (0.8),3 (0.92),4 (0.76),3 (0.8),3 (0.72),4 (0.72),3 (0.72),2,"ALBERT,ELECTRA","(3, 4)",ELECTRA,FALSE,TRUE
4 (0.92),3 (0.72),1 (0.92),1 (0.92),1 (0.68),1 (0.68),1 (0.72),1 (0.88),2 (0.68),1 (0.84),1 (0.84),1 (0.8),1 (0.64),1 (0.76),1 (0.72),1,XLNET,"(1,)",XLNET,TRUE,TRUE
2 (0.96),3 (0.84),2 (0.84),1 (0.84),4 (0.8),2 (0.88),1 (0.84),3 (0.76),3 (0.84),1 (0.64),1 (0.8),3 (0.88),1 (0.84),1 (0.96),2 (0.8),0,LLAMA,"(1,)",LLAMA,FALSE,FALSE
5 (0.88),1 (0.76),1 (0.68),4 (0.88),1 (0.92),1 (0.8),1 (0.88),3 (0.8),1 (0.84),2 (0.92),1 (0.76),5 (0.8),3 (0.88),0 (0.6),1 (0.76),5,LLAMA3,"(0,)",LLAMA3,FALSE,TRUE
2 (0.56),3 (0.76),3 (0.8),2 (0.8),0 (0.84),1 (0.6),2 (0.6),2 (0.92),1 (0.68),1 (0.64),1 (0.72),2 (0.8),3 (0.72),1 (0.84),3 (0.8),2,ALBERT,"(2,)",ALBERT,TRUE,TRUE
0 (0.84),1 (0.88),2 (0.84),2 (0.88),1 (0.8),0 (0.92),1 (0.8),1 (0.72),1 (0.72),4 (0.64),3 (0.88),2 (0.64),1 (0.68),3 (0.84),0 (0.76),3,"LLAMA,W2V","(4, 2)",W2V,FALSE,TRUE
0 (0.72),1 (0.92),4 (0.84),1 (0.84),1 (0.96),1 (0.76),2 (0.88),1 (0.72),1 (0.76),2 (0.84),1 (0.76),1 (0.84),4 (0.8),3 (0.8),2 (0.72),0,"ALBERT,Fasttext,MISTRAL","(0, 1, 2)",ALBERT,TRUE,TRUE
1 (0.8),4 (0.8),4 (0.8),1 (0.6),3 (0.92),1 (0.72),4 (0.88),3 (0.8),4 (0.8),5 (0.88),5 (0.8),5 (0.6),1 (0.68),5 (0.84),3 (0.72),4,"DistilBERT,W2V","(1, 5)",DistilBERT,FALSE,TRUE
3 (0.84),3 (0.92),4 (0.72),3 (0.72),4 (0.68),3 (0.88),1 (0.72),1 (0.8),1 (0.88),2 (0.84),1 (0.88),1 (0.76),1 (0.88),3 (0.8),1 (0.76),4,ELECTRA,"(4,)",ELECTRA,TRUE,TRUE
0 (0.76),4 (0.8),4 (0.92),4 (0.72),2 (0.72),2 (0.76),5 (0.8),4 (0.76),4 (0.88),3 (0.76),0 (0.88),2 (0.76),3 (0.84),2 (0.88),3 (0.8),2,"DistilBERT,ELECTRA","(4, 2)",ELECTRA,TRUE,TRUE
5 (0.8),1 (0.92),4 (0.68),2 (0.84),1 (0.88),4 (0.72),2 (0.64),4 (0.8),4 (0.72),3 (0.76),4 (0.68),4 (0.84),1 (0.64),4 (0.88),2 (0.56),2,MISTRAL,"(2,)",MISTRAL,TRUE,TRUE
4 (0.64),3 (0.72),5 (0.72),3 (0.84),3 (0.76),4 (0.68),4 (0.72),4 (0.92),3 (0.84),4 (0.72),4 (0.8),4 (0.76),3 (0.8),1 (0.6),5 (0.72),4,LLAMA3,"(1,)",LLAMA3,FALSE,TRUE
5 (0.8),0 (0.8),3 (0.8),1 (0.84),1 (0.88),1 (0.76),1 (0.88),1 (0.8),1 (0.68),1 (0.88),1 (0.8),5 (0.84),1 (0.8),1 (0.84),1 (0.84),1,Glove,"(1,)",Glove,TRUE,TRUE
1 (0.8),4 (0.8),3 (0.84),4 (0.88),1 (0.84),1 (0.92),1 (0.8),4 (0.84),3 (0.88),2 (0.72),5 (0.68),3 (0.96),3 (0.76),4 (0.84),3 (0.84),4,RoBERTa,"(5,)",RoBERTa,FALSE,TRUE
3 (0.72),1 (0.64),1 (0.8),2 (0.84),3 (0.84),1 (0.76),0 (0.8),3 (0.8),1 (0.72),1 (0.84),3 (0.64),1 (0.88),4 (0.84),2 (0.68),1 (0.76),3,"BART,RoBERTa","(1, 3)",RoBERTa,TRUE,TRUE
2 (0.8),1 (0.84),4 (0.84),4 (0.76),1 (0.76),1 (0.88),1 (0.96),2 (0.84),1 (0.84),1 (0.88),1 (0.96),1 (0.84),0 (0.84),1 (0.8),2 (0.92),2,"DistilBERT,ELECTRA","(4, 1)",DistilBERT,FALSE,TRUE
4 (0.88),4 (0.72),4 (0.92),4 (0.84),4 (0.64),1 (0.72),4 (0.96),1 (0.92),4 (0.76),4 (0.92),4 (0.92),1 (0.76),4 (0.84),5 (0.8),1 (0.76),3,ELECTRA,"(4,)",ELECTRA,FALSE,FALSE
4 (0.92),5 (0.64),4 (0.64),1 (0.72),1 (0.8),5 (0.64),5 (0.68),4 (0.68),4 (0.72),4 (0.76),4 (0.92),5 (0.72),4 (0.8),4 (0.76),3 (0.6),4,MISTRAL,"(3,)",MISTRAL,FALSE,TRUE
5 (0.92),3 (0.72),4 (0.92),1 (0.72),1 (0.76),5 (0.8),1 (0.72),5 (0.88),4 (0.96),1 (0.8),1 (0.76),1 (0.84),0 (0.84),1 (0.72),1 (0.68),2,MISTRAL,"(1,)",MISTRAL,FALSE,FALSE
3 (0.84),3 (0.8),2 (0.84),3 (0.84),4 (0.96),5 (0.72),3 (0.8),4 (0.88),3 (0.84),3 (0.88),4 (0.84),3 (0.88),1 (0.72),3 (0.92),3 (0.76),1,"ELMO,XLNET","(5, 1)",XLNET,TRUE,TRUE
3 (0.84),1 (0.92),1 (0.76),4 (0.84),1 (0.8),4 (0.88),4 (0.84),4 (0.76),4 (0.64),4 (0.76),4 (0.68),3 (0.92),1 (0.8),4 (0.92),4 (0.6),4,MISTRAL,"(4,)",MISTRAL,TRUE,TRUE
3 (0.84),4 (0.92),5 (0.76),3 (0.96),5 (0.92),5 (0.84),3 (0.96),1 (0.92),1 (0.76),3 (0.84),3 (0.92),1 (0.88),1 (0.76),4 (0.88),3 (0.84),5,"BERT,Glove,XLNET","(5, 1, 1)",BERT,TRUE,TRUE
4 (0.8),3 (0.68),4 (0.76),3 (0.72),4 (0.76),4 (0.84),4 (0.72),3 (0.64),3 (0.8),3 (0.84),4 (0.92),3 (0.68),5 (0.88),1 (0.84),4 (0.84),3,Fasttext,"(3,)",Fasttext,TRUE,TRUE
2 (0.8),1 (0.92),3 (0.72),0 (0.68),4 (0.8),0 (0.84),1 (0.84),3 (0.8),1 (0.52),3 (0.88),3 (0.92),0 (0.72),1 (0.92),0 (0.56),3 (0.88),1,Glove,"(1,)",Glove,TRUE,TRUE
4 (0.88),3 (0.92),4 (0.72),3 (0.6),4 (0.84),4 (0.8),4 (0.76),4 (0.64),4 (0.88),2 (0.84),4 (0.88),4 (0.88),4 (0.76),4 (0.88),5 (0.88),2,DistilBERT,"(3,)",DistilBERT,FALSE,TRUE
1 (0.84),1 (0.8),4 (0.92),2 (0.84),3 (0.88),1 (0.64),1 (0.76),1 (0.8),1 (0.92),3 (0.84),3 (0.64),1 (0.68),1 (0.68),1 (0.88),1 (0.76),3,"ELMO,RoBERTa","(1, 3)",RoBERTa,TRUE,TRUE
1 (0.76),3 (0.84),3 (0.76),2 (0.68),3 (0.72),2 (0.96),2 (0.64),0 (0.88),4 (0.72),1 (0.72),2 (0.92),2 (0.96),2 (0.76),2 (0.72),3 (0.84),1,Falcon,"(2,)",Falcon,FALSE,TRUE
4 (0.84),1 (0.76),3 (0.8),4 (0.76),1 (0.72),4 (0.64),4 (0.64),5 (0.8),4 (0.84),1 (0.76),1 (0.8),5 (0.76),1 (0.68),1 (0.8),4 (0.68),5,"ELMO,Falcon","(4, 4)",ELMO,FALSE,TRUE
4 (0.88),4 (0.92),1 (0.84),3 (0.68),0 (0.88),1 (0.68),4 (0.72),1 (0.76),1 (0.84),4 (0.84),4 (0.8),1 (0.84),1 (0.92),4 (0.72),4 (0.72),1,"DistilBERT,ELMO","(3, 1)",ELMO,TRUE,TRUE
1 (0.88),3 (0.88),2 (0.84),1 (0.84),0 (0.72),2 (0.88),3 (0.8),3 (0.84),1 (0.88),0 (0.84),3 (0.88),1 (0.88),3 (0.8),3 (0.76),2 (0.72),0,"ELECTRA,MISTRAL","(0, 2)",ELECTRA,TRUE,TRUE
2 (0.72),1 (0.76),1 (0.76),3 (0.96),2 (0.84),1 (0.88),1 (0.92),3 (0.84),1 (0.88),3 (0.88),1 (0.8),3 (0.88),3 (0.84),1 (0.92),1 (0.88),5,ALBERT,"(2,)",ALBERT,FALSE,FALSE
2 (0.92),3 (0.76),2 (0.76),3 (0.72),2 (0.8),2 (0.84),2 (0.84),1 (0.84),3 (0.84),1 (0.84),2 (0.72),2 (0.76),1 (0.92),2 (0.84),2 (0.84),2,"DistilBERT,RoBERTa","(3, 2)",RoBERTa,TRUE,TRUE
1 (0.76),1 (0.96),0 (0.88),0 (0.76),0 (0.92),1 (0.68),1 (0.88),1 (0.84),2 (0.8),0 (0.6),1 (0.8),1 (0.88),1 (0.84),0 (0.92),2 (0.6),0,"MISTRAL, LLAMA","(2, 0)",LLAMA,TRUE,TRUE
5 (0.88),3 (0.84),3 (0.72),3 (0.76),3 (0.88),3 (0.76),2 (0.88),1 (0.72),3 (0.88),3 (0.72),3 (0.84),1 (0.76),4 (0.8),3 (0.76),3 (0.76),3,"BERT,Fasttext,LLAMA","(3, 1, 3)",BERT,TRUE,TRUE
4 (0.76),5 (0.64),4 (0.76),4 (0.84),4 (0.84),5 (0.76),4 (0.64),2 (0.92),4 (0.8),4 (0.72),4 (0.76),4 (0.88),4 (0.8),4 (0.68),4 (0.68),5,"BART,Falcon","(5, 4)",BART,TRUE,TRUE
0 (0.84),3 (0.92),5 (0.92),1 (0.84),3 (0.84),5 (1.0),4 (0.8),1 (0.92),3 (0.8),4 (0.6),3 (0.96),1 (0.84),3 (0.8),4 (0.84),2 (0.64),5,LLAMA,"(4,)",LLAMA,FALSE,TRUE
5 (0.8),3 (0.72),5 (0.88),1 (0.8),1 (0.72),1 (0.8),1 (0.88),1 (0.84),1 (0.72),1 (0.96),1 (0.72),3 (0.88),1 (0.8),3 (0.76),1 (0.8),3,"BART,ELECTRA,Glove,RoBERTa","(3, 1, 1, 1)",BART,TRUE,TRUE
1 (0.88),1 (0.88),1 (0.64),1 (0.76),1 (0.72),1 (0.8),1 (0.8),4 (0.8),2 (0.84),1 (0.8),3 (0.72),5 (0.92),1 (0.88),1 (0.72),1 (0.84),1,BERT,"(1,)",BERT,TRUE,TRUE
4 (0.68),4 (0.88),1 (0.76),0 (0.8),1 (0.8),0 (0.76),1 (0.56),0 (0.44),1 (0.76),1 (0.8),1 (0.88),1 (0.76),1 (0.84),1 (0.64),1 (0.8),0,Fasttext,"(0,)",Fasttext,TRUE,TRUE
3 (0.8),3 (0.64),3 (0.88),3 (0.84),3 (0.76),3 (0.72),3 (0.8),4 (0.8),4 (0.68),3 (0.76),3 (0.68),4 (0.88),3 (0.88),3 (0.76),3 (0.72),3,BART,"(3,)",BART,TRUE,TRUE
